Customer_Age,class,Dependent_count,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon
45,M,3,Blue,39,5,1
49,F,5,Blue,44,6,1
51,M,3,Blue,36,4,1
40,F,4,Blue,34,3,4
40,M,3,Blue,21,5,1
44,M,2,Blue,36,3,1
51,M,4,Gold,46,6,1
32,M,0,Silver,27,2,2
37,M,3,Blue,36,5,2
48,M,2,Blue,36,6,3
42,M,5,Blue,31,5,3
65,M,1,Blue,54,6,2
56,M,1,Blue,36,3,6
35,M,3,Blue,30,5,1
57,F,2,Blue,48,5,2
44,M,4,Blue,37,5,1
48,M,4,Blue,36,6,2
41,M,3,Blue,34,4,4
61,M,1,Blue,56,2,2
45,F,2,Blue,37,6,1
47,M,1,Blue,42,5,2
62,F,0,Blue,49,2,3
41,M,3,Blue,33,4,2
47,F,4,Blue,36,3,3
54,M,2,Blue,42,4,2
41,F,3,Blue,28,6,1
59,M,1,Blue,46,4,1
63,M,1,Blue,56,3,3
44,F,3,Blue,34,5,2
47,M,4,Blue,42,6,0
53,M,3,Blue,33,3,2
53,M,2,Blue,48,2,5
41,M,4,Blue,36,4,1
53,F,2,Blue,38,5,2
58,M,0,Blue,49,6,2
55,F,1,Blue,36,4,2
55,F,3,Blue,36,6,2
42,F,4,Gold,36,2,3
57,F,1,Blue,49,3,3
66,F,0,Blue,56,5,4
45,M,3,Blue,41,2,2
51,M,2,Blue,44,4,1
50,F,1,Silver,43,3,2
49,M,3,Blue,37,5,2
38,F,4,Blue,28,2,3
49,M,4,Blue,30,3,2
56,M,2,Blue,45,6,2
59,M,1,Blue,52,3,2
46,M,3,Blue,40,4,3
52,M,1,Blue,40,5,1
52,F,3,Blue,41,6,3
54,F,1,Blue,40,2,3
66,F,0,Blue,54,3,4
49,M,2,Blue,36,4,2
56,M,2,Blue,36,1,3
49,F,4,Blue,36,6,4
49,F,3,Blue,36,2,2
56,M,2,Blue,50,4,2
44,F,5,Blue,35,4,1
42,M,2,Blue,34,4,4
55,M,3,Blue,47,4,2
48,M,2,Silver,35,2,4
39,M,1,Blue,33,5,3
44,M,4,Blue,32,2,4
53,M,2,Blue,44,4,2
51,M,4,Silver,38,4,1
57,M,2,Blue,52,5,3
44,F,2,Blue,20,6,3
49,M,2,Blue,32,2,2
50,M,2,Blue,38,6,2
51,M,4,Blue,42,3,2
55,F,2,Blue,42,5,3
54,M,1,Blue,43,4,2
42,M,5,Blue,37,6,2
44,M,1,Blue,35,3,3
53,M,2,Blue,36,5,3
44,F,4,Blue,36,6,4
37,F,3,Blue,29,4,4
49,M,3,Blue,30,6,1
47,M,2,Blue,38,6,3
47,M,3,Blue,37,4,4
44,M,1,Blue,36,6,2
55,F,4,Blue,45,2,4
59,F,1,Blue,52,2,3
53,M,1,Blue,35,5,4
52,M,2,Blue,47,5,3
53,M,2,Blue,35,4,2
43,F,3,Blue,35,5,2
44,M,3,Blue,31,4,3
57,M,2,Blue,45,5,3
51,F,2,Blue,36,3,2
49,M,4,Blue,38,4,3
45,M,1,Blue,36,4,4
53,M,0,Blue,42,5,4
45,F,3,Blue,28,5,1
64,M,1,Blue,52,6,4
45,M,3,Blue,35,5,4
53,M,3,Blue,35,5,3
56,M,3,Blue,50,3,2
47,M,2,Blue,37,2,3
49,F,3,Blue,43,4,4
41,F,3,Silver,34,5,3
53,M,3,Blue,34,6,2
44,F,2,Blue,32,3,3
44,M,3,Blue,25,3,3
43,F,4,Blue,33,2,3
53,M,2,Blue,36,6,1
44,M,1,Blue,36,5,2
62,F,1,Blue,56,6,0
54,M,4,Blue,36,6,3
57,M,4,Blue,39,4,3
42,M,3,Blue,36,5,3
42,M,4,Blue,36,5,1
54,F,0,Blue,36,2,2
48,M,3,Blue,35,6,1
49,M,1,Blue,36,6,2
52,M,3,Blue,48,3,2
50,M,3,Blue,39,4,1
49,M,1,Blue,36,4,6
53,F,2,Blue,44,3,2
50,M,2,Blue,36,3,2
55,F,1,Blue,36,4,1
53,M,1,Blue,47,3,2
47,F,3,Blue,41,4,3
55,M,2,Silver,42,2,3
47,M,3,Blue,36,4,2
58,M,4,Blue,52,6,1
53,M,2,Blue,41,3,3
52,M,2,Blue,45,3,1
50,F,1,Silver,36,4,2
42,F,1,Blue,36,5,1
43,M,4,Blue,39,5,1
57,M,4,Blue,46,3,2
52,M,1,Blue,43,3,1
47,M,2,Blue,37,2,1
44,F,3,Blue,38,3,1
53,M,2,Blue,36,5,3
45,M,4,Blue,40,5,1
63,F,1,Blue,36,6,2
39,F,2,Blue,27,4,2
48,F,5,Blue,38,1,3
51,M,1,Blue,42,6,2
54,M,4,Blue,34,2,3
59,F,1,Blue,36,3,2
59,M,1,Blue,53,2,3
48,F,4,Blue,38,3,2
41,F,2,Blue,32,6,3
55,M,2,Blue,50,3,2
47,F,4,Blue,36,4,1
41,M,2,Blue,24,4,1
40,M,3,Blue,28,5,1
68,M,1,Blue,56,5,2
50,F,1,Silver,31,2,2
47,M,4,Blue,41,6,2
53,F,1,Blue,47,4,2
42,F,5,Blue,36,3,3
48,F,4,Blue,38,6,1
49,M,1,Blue,38,6,1
44,F,2,Silver,35,4,3
43,F,4,Blue,34,2,3
56,M,0,Blue,43,5,2
59,F,1,Blue,36,2,3
46,M,1,Blue,36,3,2
47,F,4,Blue,41,6,5
50,F,4,Blue,40,5,2
51,F,3,Blue,43,3,1
47,F,3,Blue,36,4,1
58,F,4,Blue,47,3,3
46,M,5,Blue,33,6,3
53,M,3,Blue,47,5,2
45,F,4,Blue,36,4,3
52,F,1,Blue,45,6,3
53,M,2,Blue,36,2,2
50,M,2,Silver,45,3,1
41,F,3,Blue,36,4,1
45,F,5,Blue,36,5,2
53,M,3,Blue,42,2,1
67,F,1,Blue,56,4,3
57,F,2,Silver,36,6,3
59,F,1,Blue,36,4,2
45,M,2,Blue,34,3,2
51,M,3,Blue,36,6,2
59,F,1,Blue,54,5,3
53,M,1,Blue,45,6,2
47,M,3,Blue,36,2,1
49,F,3,Blue,38,6,2
49,M,3,Blue,33,3,1
60,F,0,Blue,55,5,1
50,F,2,Blue,36,5,1
41,F,2,Blue,31,6,1
57,M,1,Blue,47,5,3
43,M,4,Blue,27,5,2
57,F,3,Blue,47,4,2
54,M,3,Blue,41,3,3
51,F,5,Blue,44,5,1
47,F,3,Blue,34,2,1
41,M,0,Blue,36,3,2
53,M,3,Blue,43,3,3
68,M,0,Blue,52,1,3
59,M,1,Blue,36,4,1
48,M,4,Blue,36,5,3
44,M,5,Blue,32,4,5
48,M,3,Blue,41,4,5
47,M,4,Silver,33,3,2
47,M,2,Silver,32,4,2
43,F,1,Silver,35,3,2
55,F,2,Blue,43,2,4
59,M,2,Blue,46,3,3
63,M,1,Blue,56,2,1
58,M,2,Blue,53,2,3
53,F,2,Blue,36,4,1
59,M,0,Silver,40,3,2
52,M,3,Blue,47,5,3
48,M,3,Blue,36,4,2
43,M,4,Blue,36,5,3
48,M,2,Blue,36,3,2
43,F,4,Blue,31,5,2
44,M,4,Blue,30,5,1
41,M,3,Blue,35,6,1
44,F,3,Silver,38,4,1
50,M,2,Blue,43,2,1
60,F,1,Blue,36,5,1
44,M,4,Blue,24,5,3
48,F,3,Blue,39,6,2
44,F,2,Blue,27,5,2
41,M,2,Blue,28,4,3
45,M,3,Blue,32,4,1
47,F,2,Silver,34,6,4
51,F,2,Blue,36,3,1
51,M,2,Blue,44,4,3
60,F,1,Blue,50,4,4
57,M,2,Blue,46,2,3
41,M,5,Blue,29,5,2
44,M,3,Blue,36,6,2
43,M,1,Blue,37,6,3
55,M,2,Blue,48,4,3
52,M,1,Blue,36,2,3
44,M,3,Blue,33,3,3
41,M,2,Blue,30,5,3
44,M,4,Blue,34,4,1
53,F,2,Blue,33,2,3
39,M,2,Blue,36,4,2
49,M,5,Blue,45,2,2
45,F,2,Blue,36,1,3
54,M,2,Blue,46,6,2
49,M,3,Blue,43,2,2
46,F,3,Blue,36,6,3
46,M,4,Blue,30,3,3
47,M,3,Blue,38,4,1
44,M,2,Blue,36,5,1
50,M,3,Blue,31,4,1
73,M,0,Blue,36,5,3
56,M,3,Blue,46,6,3
59,M,0,Blue,48,2,4
70,M,0,Blue,56,3,2
55,F,2,Blue,36,4,3
43,M,4,Blue,36,4,1
45,M,1,Blue,39,4,2
45,F,2,Blue,35,2,3
40,M,1,Blue,23,6,3
36,M,2,Blue,22,2,2
59,F,0,Blue,40,1,4
43,M,4,Blue,35,6,3
46,F,1,Blue,36,2,3
41,M,2,Blue,32,5,1
51,F,2,Blue,46,5,2
51,F,3,Blue,25,2,2
43,F,4,Blue,23,6,3
64,F,0,Blue,53,1,3
54,M,5,Blue,38,3,3
48,M,3,Blue,43,6,1
40,M,2,Blue,29,5,3
57,M,0,Blue,45,6,2
45,M,4,Blue,40,4,3
41,M,3,Blue,36,4,3
42,F,4,Blue,31,2,2
45,M,2,Blue,36,1,1
42,F,4,Blue,23,4,2
47,M,4,Blue,30,5,2
48,F,4,Blue,42,3,1
43,M,1,Silver,37,4,3
41,M,4,Blue,36,4,3
54,F,1,Blue,44,5,2
54,F,2,Blue,44,3,3
61,M,0,Blue,52,3,1
61,M,0,Blue,48,2,1
48,M,2,Blue,36,3,3
45,F,4,Blue,36,6,3
54,F,4,Blue,40,6,2
54,F,3,Blue,46,2,2
44,M,3,Blue,37,2,3
50,F,4,Blue,36,2,3
55,M,2,Blue,36,3,4
48,M,2,Blue,36,5,1
45,M,2,Blue,33,6,3
60,M,0,Blue,36,5,1
55,M,2,Blue,47,5,3
62,F,0,Blue,52,5,2
38,F,1,Blue,30,2,3
46,M,3,Blue,39,2,3
50,M,0,Silver,45,5,2
45,M,2,Blue,36,5,3
47,M,3,Blue,37,6,3
48,M,4,Gold,33,2,2
35,M,3,Blue,22,5,2
51,M,2,Blue,42,3,3
36,F,3,Blue,24,4,1
47,M,4,Blue,36,6,3
52,M,2,Blue,37,2,3
43,F,4,Blue,36,2,1
63,M,2,Blue,36,2,2
61,M,0,Blue,54,3,2
53,M,2,Blue,40,5,2
53,F,3,Blue,47,5,6
57,M,3,Blue,38,2,3
38,F,2,Blue,31,2,3
53,M,3,Blue,43,5,3
63,F,0,Blue,54,4,2
49,F,4,Blue,43,4,2
45,M,2,Blue,34,5,5
67,M,0,Blue,56,4,2
48,M,3,Silver,37,3,2
51,F,2,Blue,38,4,1
52,M,2,Silver,40,3,3
55,F,2,Blue,35,3,3
34,M,3,Blue,26,4,3
56,M,1,Blue,36,3,2
44,F,2,Blue,36,3,3
47,M,3,Blue,36,6,2
46,F,3,Blue,38,4,3
43,F,3,Blue,29,5,2
50,F,1,Blue,36,4,1
38,F,4,Blue,30,4,1
53,F,1,Blue,45,3,1
43,M,5,Silver,31,5,3
53,M,1,Blue,36,6,3
56,F,1,Blue,38,4,3
54,M,2,Blue,44,4,3
57,F,3,Blue,39,3,2
62,M,1,Blue,53,5,3
46,F,4,Blue,40,5,1
49,M,2,Blue,44,6,3
52,M,3,Blue,42,6,3
58,M,1,Blue,36,2,4
54,M,0,Blue,36,3,1
49,M,1,Blue,39,3,2
58,F,3,Blue,47,6,1
52,M,2,Blue,45,5,3
41,M,5,Blue,33,5,3
62,F,0,Blue,50,5,1
54,M,2,Blue,39,4,4
40,F,3,Blue,35,3,1
43,M,3,Blue,26,5,3
53,F,2,Blue,42,6,2
55,M,1,Blue,49,6,3
46,M,4,Blue,39,6,2
41,M,1,Blue,25,3,2
49,M,3,Blue,32,3,2
61,F,0,Blue,56,4,1
46,M,2,Blue,38,6,3
50,F,1,Blue,43,6,3
40,M,2,Blue,24,5,1
51,M,4,Blue,46,6,3
50,F,2,Blue,44,6,2
47,F,2,Blue,36,6,3
43,M,4,Blue,39,3,3
36,F,4,Blue,36,6,3
47,F,2,Blue,34,5,2
46,F,2,Blue,41,5,3
46,M,2,Blue,36,5,3
52,M,0,Blue,36,3,3
43,M,4,Blue,36,5,3
40,F,4,Blue,27,6,2
54,F,4,Blue,36,3,5
55,F,1,Blue,43,4,2
49,F,4,Blue,44,6,3
45,M,4,Blue,34,6,3
49,M,3,Blue,41,5,3
63,M,1,Blue,36,5,2
40,F,3,Gold,36,3,2
41,F,2,Silver,33,4,2
37,M,4,Blue,26,6,2
58,M,2,Blue,49,6,2
55,M,2,Blue,36,4,3
53,F,1,Blue,48,6,3
57,M,2,Blue,40,3,2
43,M,4,Blue,30,2,5
58,M,1,Blue,46,3,3
64,M,0,Blue,56,6,1
54,F,2,Blue,44,3,2
53,M,2,Blue,47,6,2
39,F,3,Blue,25,6,1
56,M,3,Blue,36,5,1
54,F,4,Blue,49,6,1
59,F,1,Blue,46,5,3
42,M,3,Blue,36,3,1
42,M,4,Silver,28,5,1
43,M,3,Blue,39,3,3
55,M,0,Blue,49,5,3
52,M,1,Blue,37,5,2
