GRE Score,TOEFL Score,University Rating,SOP,CGPA,class
337,118,4,4.5,9.65,0.92
324,107,4,4,8.87,0.76
316,104,3,3,8,0.72
322,110,3,3.5,8.67,0.8
314,103,2,2,8.21,0.65
330,115,5,4.5,9.34,0.9
321,109,3,3,8.2,0.75
308,101,2,3,7.9,0.68
302,102,1,2,8,0.5
323,108,3,3.5,8.6,0.45
325,106,3,3.5,8.4,0.52
327,111,4,4,9,0.84
328,112,4,4,9.1,0.78
307,109,3,4,8,0.62
311,104,3,3.5,8.2,0.61
314,105,3,3.5,8.3,0.54
317,107,3,4,8.7,0.66
319,106,3,4,8,0.65
318,110,3,4,8.8,0.63
303,102,3,3.5,8.5,0.62
312,107,3,3,7.9,0.64
325,114,4,3,8.4,0.7
328,116,5,5,9.5,0.94
334,119,5,5,9.7,0.95
336,119,5,4,9.8,0.97
340,120,5,4.5,9.6,0.94
322,109,5,4.5,8.8,0.76
298,98,2,1.5,7.5,0.44
295,93,1,2,7.2,0.46
310,99,2,1.5,7.3,0.54
300,97,2,3,8.1,0.65
327,103,3,4,8.3,0.74
338,118,4,3,9.4,0.91
340,114,5,4,9.6,0.9
331,112,5,4,9.8,0.94
320,110,5,5,9.2,0.88
299,106,2,4,8.4,0.64
300,105,1,1,7.8,0.58
304,105,1,3,7.5,0.52
307,108,2,4,7.7,0.48
308,110,3,3.5,8,0.46
316,105,2,2.5,8.2,0.49
313,107,2,2.5,8.5,0.53
332,117,4,4.5,9.1,0.87
326,113,5,4.5,9.4,0.91
322,110,5,5,9.1,0.88
329,114,5,4,9.3,0.86
339,119,5,4.5,9.7,0.89
321,110,3,3.5,8.85,0.82
327,111,4,3,8.4,0.78
313,98,3,2.5,8.3,0.76
312,100,2,1.5,7.9,0.56
334,116,4,4,8,0.78
324,112,4,4,8.1,0.72
322,110,3,3,8,0.7
320,103,3,3,7.7,0.64
316,102,3,2,7.4,0.64
298,99,2,4,7.6,0.46
300,99,1,3,6.8,0.36
311,104,2,2,8.3,0.42
309,100,2,3,8.1,0.48
307,101,3,4,8.2,0.47
304,105,2,3,8.2,0.54
315,107,2,4,8.5,0.56
325,111,3,3,8.7,0.52
325,112,4,3.5,8.92,0.55
327,114,3,3,9.02,0.61
316,107,2,3.5,8.64,0.57
318,109,3,3.5,9.22,0.68
328,115,4,4.5,9.16,0.78
332,118,5,5,9.64,0.94
336,112,5,5,9.76,0.96
321,111,5,5,9.45,0.93
314,108,4,4.5,9.04,0.84
314,106,3,3,8.9,0.74
329,114,2,2,8.56,0.72
327,112,3,3,8.72,0.74
301,99,2,3,8.22,0.64
296,95,2,3,7.54,0.44
294,93,1,1.5,7.36,0.46
312,105,3,2,8.02,0.5
340,120,4,5,9.5,0.96
320,110,5,5,9.22,0.92
322,115,5,4,9.36,0.92
340,115,5,4.5,9.45,0.94
319,103,4,4.5,8.66,0.76
315,106,3,4.5,8.42,0.72
317,107,2,3.5,8.28,0.66
314,108,3,4.5,8.14,0.64
316,109,4,4.5,8.76,0.74
318,106,2,4,7.92,0.64
299,97,3,5,7.66,0.38
298,98,2,4,8.03,0.34
301,97,2,3,7.88,0.44
303,99,3,2,7.66,0.36
304,100,4,1.5,7.84,0.42
306,100,2,3,8,0.48
331,120,3,4,8.96,0.86
332,119,4,5,9.24,0.9
323,113,3,4,8.88,0.79
322,107,3,3.5,8.46,0.71
312,105,2,2.5,8.12,0.64
314,106,2,4,8.25,0.62
317,104,2,4.5,8.47,0.57
326,112,3,3.5,9.05,0.74
316,110,3,4,8.78,0.69
329,111,4,4.5,9.18,0.87
338,117,4,3.5,9.46,0.91
331,116,5,5,9.38,0.93
304,103,5,5,8.64,0.68
305,108,5,3,8.48,0.61
321,109,4,4,8.68,0.69
301,107,3,3.5,8.34,0.62
320,110,2,4,8.56,0.72
311,105,3,3.5,8.45,0.59
310,106,4,4.5,9.04,0.66
299,102,3,4,8.62,0.56
290,104,4,2,7.46,0.45
296,99,2,3,7.28,0.47
327,104,5,3,8.84,0.71
335,117,5,5,9.56,0.94
334,119,5,4.5,9.48,0.94
310,106,4,1.5,8.36,0.57
308,108,3,3.5,8.22,0.61
301,106,4,2.5,8.47,0.57
300,100,3,2,8.66,0.64
323,113,3,4,9.32,0.85
319,112,3,2.5,8.71,0.78
326,112,3,3.5,9.1,0.84
333,118,5,5,9.35,0.92
339,114,5,4,9.76,0.96
303,105,5,5,8.65,0.77
309,105,5,3.5,8.56,0.71
323,112,5,4,8.78,0.79
333,113,5,4,9.28,0.89
314,109,4,3.5,8.77,0.82
312,103,3,5,8.45,0.76
316,100,2,1.5,8.16,0.71
326,116,2,4.5,9.08,0.8
318,109,1,3.5,9.12,0.78
329,110,2,4,9.15,0.84
332,118,2,4.5,9.36,0.9
331,115,5,4,9.44,0.92
340,120,4,4.5,9.92,0.97
325,112,2,3,8.96,0.8
320,113,2,2,8.64,0.81
315,105,3,2,8.48,0.75
326,114,3,3,9.11,0.83
339,116,4,4,9.8,0.96
311,106,2,3.5,8.26,0.79
334,114,4,4,9.43,0.93
332,116,5,5,9.28,0.94
321,112,5,5,9.06,0.86
324,105,3,3,8.75,0.79
326,108,3,3,8.89,0.8
312,109,3,3,8.69,0.77
315,105,3,2,8.34,0.7
309,104,2,2,8.26,0.65
306,106,2,2,8.14,0.61
297,100,1,1.5,7.9,0.52
315,103,1,1.5,7.86,0.57
298,99,1,1.5,7.46,0.53
318,109,3,3,8.5,0.67
317,105,3,3.5,8.56,0.68
329,111,4,4.5,9.01,0.81
322,110,5,4.5,8.97,0.78
302,102,3,3.5,8.33,0.65
313,102,3,2,8.27,0.64
293,97,2,2,7.8,0.64
311,99,2,2.5,7.98,0.65
312,101,2,2.5,8.04,0.68
334,117,5,4,9.07,0.89
322,110,4,4,9.13,0.86
323,113,4,4,9.23,0.89
321,111,4,4,8.97,0.87
320,111,4,4.5,8.87,0.85
329,119,4,4.5,9.16,0.9
319,110,3,3.5,9.04,0.82
309,108,3,2.5,8.12,0.72
307,102,3,3,8.27,0.73
300,104,3,3.5,8.16,0.71
305,107,2,2.5,8.42,0.71
299,100,2,3,7.88,0.68
314,110,3,4,8.8,0.75
316,106,2,2.5,8.32,0.72
327,113,4,4.5,9.11,0.89
317,107,3,3.5,8.68,0.84
335,118,5,4.5,9.44,0.93
331,115,5,4.5,9.36,0.93
324,112,5,5,9.08,0.88
324,111,5,4.5,9.16,0.9
323,110,5,4,8.98,0.87
322,114,5,4.5,8.94,0.86
336,118,5,4.5,9.53,0.94
316,109,3,3.5,8.76,0.77
307,107,2,3,8.52,0.78
306,105,2,3,8.26,0.73
310,106,2,3.5,8.33,0.73
311,104,3,4.5,8.43,0.7
313,107,3,4,8.69,0.72
317,103,3,2.5,8.54,0.73
315,110,2,3.5,8.46,0.72
340,120,5,4.5,9.91,0.97
334,120,5,4,9.87,0.97
298,105,3,3.5,8.54,0.69
295,99,2,2.5,7.65,0.57
315,99,2,3.5,7.89,0.63
310,102,3,3.5,8.02,0.66
305,106,2,3,8.16,0.64
301,104,3,3.5,8.12,0.68
325,108,4,4.5,9.06,0.79
328,110,4,5,9.14,0.82
338,120,4,5,9.66,0.95
333,119,5,5,9.78,0.96
331,117,4,4.5,9.42,0.94
330,116,5,5,9.36,0.93
322,112,4,4.5,9.26,0.91
321,109,4,4,9.13,0.85
324,110,4,3,8.97,0.84
312,104,3,3.5,8.42,0.74
313,103,3,4,8.75,0.76
316,110,3,3.5,8.56,0.75
324,113,4,4.5,8.79,0.76
308,109,2,3,8.45,0.71
305,105,2,3,8.23,0.67
296,99,2,2.5,8.03,0.61
306,110,2,3.5,8.45,0.63
312,110,2,3.5,8.53,0.64
318,112,3,4,8.67,0.71
324,111,4,3,9.01,0.82
313,104,3,4,8.65,0.73
319,106,3,3.5,8.33,0.74
312,107,2,2.5,8.27,0.69
304,100,2,2.5,8.07,0.64
330,113,5,5,9.31,0.91
326,111,5,4.5,9.23,0.88
325,112,4,4,9.17,0.85
329,114,5,4.5,9.19,0.86
310,104,3,2,8.37,0.7
299,100,1,1.5,7.89,0.59
296,101,1,2.5,7.68,0.6
317,103,2,2.5,8.15,0.65
324,115,3,3.5,8.76,0.7
325,114,3,3.5,9.04,0.76
314,107,2,2.5,8.56,0.63
328,110,4,4,9.02,0.81
316,105,3,3,8.73,0.72
311,104,2,2.5,8.48,0.71
324,110,3,3.5,8.87,0.8
